City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (°C)
68,port mathurin,-19.6833,63.4167,295.91,77,10,5.91,MU,1692322012,22.760000000000048
69,wynne,35.2245,-90.7868,297.81,59,36,3.36,US,1692322012,24.660000000000025
70,at taj,24.2049,23.2857,299.32,25,4,3.46,LY,1692322013,26.170000000000016
71,la passe,45.5549,-0.8967,296.28,86,100,2.67,FR,1692322013,23.129999999999995
72,ust-nera,64.5667,143.2,294.46,54,29,0.3,RU,1692322014,21.310000000000002
73,callao,-12.0667,-77.15,293.31,73,100,5.66,PE,1692322014,20.160000000000025
74,yarmouth,41.7057,-70.2286,294.27,97,100,0.45,US,1692322014,21.120000000000005
75,buka,40.8108,69.1986,293.51,20,0,2.56,UZ,1692322015,20.360000000000014
76,nykvarn,59.8,18.3,287.49,85,100,1.91,SE,1692322015,14.340000000000032
77,zaraza,9.3503,-65.3245,298.71,83,79,2.48,VE,1692322016,25.560000000000002
78,tura,25.5198,90.2201,298.07,96,100,1.41,IN,1692322016,24.920000000000016
79,ust'-ordynskiy,52.805,104.7508,286.17,77,95,1.79,RU,1692322016,13.020000000000039
80,westport,41.1415,-73.3579,296.11,91,100,5.66,US,1692322017,22.960000000000036
81,talakan,50.3167,130.3667,298.11,83,100,3.02,RU,1692322017,24.960000000000036
82,whitehorse,60.7161,-135.0538,283.58,93,75,1.54,CA,1692322005,10.430000000000007
83,prado,-17.3411,-39.2208,294.36,87,9,2.09,BR,1692322018,21.210000000000036
84,bethel,41.3712,-73.414,295.08,86,100,0.0,US,1692322018,21.930000000000007
85,mollendo,-17.0231,-72.0147,290.42,82,80,3.54,PE,1692322019,17.27000000000004
86,ulladulla,-35.35,150.4667,287.49,57,100,7.21,AU,1692322019,14.340000000000032
87,iskateley,67.6803,53.1512,288.79,98,100,4.18,RU,1692322020,15.640000000000043
88,dolbeau-mistassini,48.8763,-72.212,295.51,86,15,5.57,CA,1692322021,22.360000000000014
89,shahr-e babak,30.1165,55.1186,292.1,10,0,2.12,IR,1692322021,18.950000000000045
90,howard springs,-12.497,131.047,302.49,47,7,1.4,AU,1692322022,29.340000000000032
91,anadyr,64.75,177.4833,292.43,37,0,7.0,RU,1692322023,19.28000000000003
92,santa cruz,-17.8,-63.1667,297.85,73,0,6.69,BO,1692321885,24.700000000000045
93,barra de santo antonio,-9.4047,-35.5072,294.75,85,17,4.78,BR,1692322024,21.600000000000023
94,hobyo,5.3505,48.5268,297.78,84,77,10.52,SO,1692322024,24.629999999999995
95,beira,-19.8436,34.8389,291.91,89,84,3.06,MZ,1692322025,18.760000000000048
96,rufino,-34.2683,-62.7126,283.42,91,100,6.02,AR,1692322025,10.270000000000039
97,bubaque,11.2833,-15.8333,299.74,83,93,5.08,GW,1692322026,26.590000000000032
98,colonia,50.9333,6.95,291.46,90,0,1.03,DE,1692321963,18.310000000000002
99,cockburn town,21.4612,-71.1419,301.87,82,35,9.69,TC,1692322027,28.720000000000027
100,ciudad lazaro cardenas,17.9583,-102.2,300.92,74,100,0.99,MX,1692322027,27.77000000000004
101,gadzhiyevo,69.2551,33.3362,281.91,86,100,8.61,RU,1692322028,8.760000000000048
102,isafjordur,66.0755,-23.124,284.5,89,100,2.67,IS,1692322028,11.350000000000023
103,gutierrez zamora,20.45,-97.0833,302.05,78,64,3.74,MX,1692322029,28.900000000000034
104,bilibino,68.0546,166.4372,281.62,88,100,1.74,RU,1692322029,8.470000000000027
105,nowshahr,36.649,51.496,297.12,78,0,1.03,IR,1692322030,23.970000000000027
106,usogorsk,63.4106,48.6872,289.92,95,100,3.37,RU,1692322031,16.77000000000004
107,talnakh,69.4865,88.3972,283.82,57,3,0.85,RU,1692322031,10.670000000000016
108,menongue,-14.6585,17.691,286.37,26,0,1.03,AO,1692322032,13.220000000000027
109,aksuat,48.7167,83.7,288.99,57,0,2.08,KZ,1692322032,15.840000000000032
110,kapuskasing,49.4169,-82.4331,289.2,88,75,4.63,CA,1692322033,16.05000000000001
111,east london,-33.0153,27.9116,287.9,68,0,4.23,ZA,1692322033,14.75
112,belmonte,-15.8631,-38.8828,295.22,85,35,2.72,BR,1692322034,22.07000000000005
113,tipasa,36.5897,2.4475,300.23,66,1,2.09,DZ,1692322034,27.08000000000004
114,tromso,69.6496,18.957,284.16,66,100,6.17,NO,1692321976,11.010000000000048
115,carnarvon,-24.8667,113.6333,290.29,38,0,10.9,AU,1692322035,17.140000000000043
116,northam,51.0333,-4.2167,291.62,84,100,7.84,GB,1692322035,18.470000000000027
117,hawaiian paradise park,19.5933,-154.9731,300.95,81,100,4.12,US,1692322036,27.80000000000001
118,tralee,52.2704,-9.7026,288.14,88,100,5.34,IE,1692322036,14.990000000000009
119,hasaki,35.7333,140.8333,308.31,78,0,5.46,JP,1692322037,35.160000000000025
120,richards bay,-28.783,32.0377,292.4,88,100,4.16,ZA,1692322038,19.25
121,avarua,-21.2078,-159.775,299.18,73,100,5.66,CK,1692322036,26.03000000000003
122,broken hill,-31.95,141.4333,285.05,47,5,10.4,AU,1692322038,11.900000000000034
123,yokadouma,3.5167,15.05,293.95,97,100,0.5,CM,1692322039,20.80000000000001
124,hermanus,-34.4187,19.2345,283.6,84,1,5.84,ZA,1692322039,10.450000000000045
125,yellowknife,62.456,-114.3525,290.6,59,75,8.23,CA,1692322040,17.450000000000045
126,ilulissat,69.2167,-51.1,280.16,70,20,0.0,GL,1692322040,7.010000000000048
127,gamba,-2.65,10.0,295.04,94,66,2.82,GA,1692322041,21.890000000000043
128,wuwei,37.9281,102.6414,296.09,34,91,0.62,CN,1692322043,22.939999999999998
129,carutapera,-1.195,-46.02,297.88,88,6,2.4,BR,1692322043,24.730000000000018
130,alofi,-19.0595,-169.9187,300.09,78,75,3.6,NU,1692322044,26.939999999999998
131,piacabucu,-10.4056,-36.4344,296.2,87,3,4.64,BR,1692322044,23.05000000000001
132,port blair,11.6667,92.75,302.17,79,40,4.12,IN,1692322045,29.02000000000004
133,saldanha,-33.0117,17.9442,284.18,86,0,4.33,ZA,1692322045,11.03000000000003
134,prince rupert,54.3161,-130.3201,287.2,82,100,8.75,CA,1692322046,14.050000000000011
135,atafu village,-8.5421,-172.5159,300.77,81,100,8.47,TK,1692321982,27.620000000000005
136,brisas de zicatela,15.8369,-97.0419,302.44,61,75,0.0,MX,1692322047,29.29000000000002
137,toamasina,-18.1667,49.3833,293.15,94,75,2.06,MG,1692322047,20.0
138,egilsstadir,65.2653,-14.3948,285.1,76,75,5.66,IS,1692322048,11.950000000000045
139,nova sintra,14.8667,-24.7167,297.27,84,89,5.25,CV,1692322048,24.120000000000005
140,praia da vitoria,38.7333,-27.0667,297.29,88,75,7.2,PT,1692322049,24.140000000000043
141,nabire,-3.3667,135.4833,300.73,73,100,0.86,ID,1692322049,27.58000000000004
142,iqaluit,63.7506,-68.5145,279.0,100,100,6.17,CA,1692322049,5.850000000000023
143,thompson,55.7435,-97.8558,292.24,59,75,1.54,CA,1692322050,19.090000000000032
144,trairi,-3.2778,-39.2689,298.41,85,8,4.96,BR,1692322050,25.260000000000048
145,georgetown,5.4112,100.3354,301.45,85,20,1.54,MY,1692321772,28.30000000000001
146,waingapu,-9.6567,120.2641,299.93,61,2,6.03,ID,1692322052,26.78000000000003
147,el charco,2.4769,-78.1105,297.78,94,18,0.97,CO,1692322052,24.629999999999995
148,houghton,47.1219,-88.569,290.86,73,75,3.09,US,1692321788,17.710000000000036
149,olonkinbyen,70.9221,-8.7187,279.7,93,100,4.04,SJ,1692322053,6.550000000000011
150,qaqortoq,60.7167,-46.0333,281.56,82,100,1.86,GL,1692322054,8.410000000000025
151,katabu,-4.9333,122.5167,301.76,54,33,2.51,ID,1692322054,28.610000000000014
